Experiment_number,Experiment_1,Experiment_2,Mean_1,Mean_2
1,4,6,210.5,177.333
2,6,4,153.833333,249
3,5,6,153.6,169.833333
4,6,7,164.4,178.5
5,4,6,498,240.2
6,4,6,168.2,168.833333
7,4,2,173.75,409.5
8,5,5,139,201.6
9,4,6,180.8,230
10,5,5,178,193.6
11,3,6,194.2,189.3333
12,4,7,214,237.8
13,5,3,188.5,290.6666666
14,4,6,198.5,183.8
15,5,6,184.2,199.6
16,4,5,181,187.6
17,5,5,170,224.4
18,4,3,162,210.6
19,4,5,156,216.2
20,5,6,140.5,181.8
21,5,4,450.1666667,194.75
22,5,5,221.2,183
23,4,5,170.4,176.2
24,4,4,151.6,373
25,5,5,158.6,191.2
26,3,5,190.2,190
27,5,7,153.8,352
28,5,3,146.16666,233.6
29,5,4,154,216.4
30,4,6,179.75,175.1666667
,0.028666736,,195.125,220.8505433
